Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.129997,86.309998,85.500000,85.949997,82.383636,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,82.767044,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,83.495522,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,84.530701,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,84.616966,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,84.559456,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,84.176056,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,84.425262,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,85.882187,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,84.684052,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,86.399780,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,86.361450,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,86.265594,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,87.808777,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,88.086754,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,88.010063,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,88.498917,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,90.157143,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,90.022942,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,88.891899,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,91.067711,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,90.348839,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,87.971733,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,84.348587,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,87.540405,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,85.891769,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,81.482643,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,84.521103,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,85.431679,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,86.102661,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,87.450859,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,89.232430,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,88.596848,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,89.290207,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,88.105705,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,88.336838,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,90.580643,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,91.890320,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,90.715469,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,90.301384,31167300
2018-03-01,93.989998,94.570000,91.839996,92.849998,89.415398,37135600
2018-03-02,91.580002,93.150002,90.860001,93.050003,89.608009,32830400
2018-03-05,92.339996,94.269997,92.260002,93.639999,90.176186,23901600
2018-03-06,94.339996,94.489998,92.940002,93.320000,89.868011,22175800
2018-03-07,93.160004,93.940002,92.430000,93.860001,90.388046,26716100
2018-03-08,94.269997,95.099998,93.769997,94.430000,90.936951,25887800
2018-03-09,95.290001,96.540001,95.000000,96.540001,92.968887,36937300
2018-03-12,96.500000,97.209999,96.040001,96.769997,93.190392,26073700
2018-03-13,97.000000,97.239998,93.970001,94.410004,90.917709,35387800
2018-03-14,95.120003,95.410004,93.500000,93.849998,90.378410,32132000
2018-03-15,93.529999,94.580002,92.830002,94.180000,90.696205,27611000
2018-03-16,94.680000,95.379997,93.919998,94.599998,91.100670,49081300
2018-03-19,93.739998,93.900002,92.110001,92.889999,89.453911,33344100
2018-03-20,93.050003,93.769997,93.000000,93.129997,89.685036,23075200
2018-03-21,92.930000,94.050003,92.209999,92.480003,89.059090,24457100
2018-03-22,91.269997,91.750000,89.660004,89.790001,86.468597,38604700
2018-03-23,89.500000,90.459999,87.080002,87.180000,83.955154,44068900
2018-03-26,90.610001,94.000000,90.400002,93.779999,90.310989,56396800
2018-03-27,94.940002,95.139999,88.510002,89.470001,86.160439,56569000
2018-03-28,89.820000,91.230003,88.870003,89.389999,86.083389,52501100
2018-03-29,90.180000,92.290001,88.400002,91.269997,87.893845,45867500
2018-04-02,90.470001,90.879997,87.510002,88.519997,85.245575,48515400
2018-04-03,89.580002,90.050003,87.889999,89.709999,86.391548,37213800
2018-04-04,87.849998,92.760002,87.730003,92.330002,88.914635,35560000
2018-04-05,92.440002,93.070000,91.400002,92.379997,88.962784,29771900
2018-04-06,91.489998,92.459999,89.480003,90.230003,86.892326,38026000
2018-04-09,91.040001,93.169998,90.620003,90.769997,87.412331,31533900
2018-04-10,92.389999,93.279999,91.639999,92.879997,89.444290,26812000
2018-04-11,92.010002,93.290001,91.480003,91.860001,88.462013,24872100
2018-04-12,92.430000,94.160004,92.430000,93.580002,90.118393,26758900
2018-04-13,94.050003,94.180000,92.440002,93.080002,89.636894,23346100
2018-04-16,94.070000,94.660004,93.419998,94.169998,90.686562,20288100
2018-04-17,95.000000,96.540001,94.879997,96.070000,92.516273,26771000
2018-04-18,96.220001,96.720001,95.519997,96.440002,92.872604,21043300
2018-04-19,96.440002,97.070000,95.339996,96.110001,92.554802,23552500
2018-04-20,95.910004,96.110001,94.050003,95.000000,91.485863,31154400
2018-04-23,95.739998,96.290001,94.629997,95.349998,91.822914,22331800
2018-04-24,96.239998,96.470001,92.410004,93.120003,89.675407,34524800
2018-04-25,93.300003,93.300003,90.279999,92.309998,88.895370,33729300
2018-04-26,93.550003,95.150002,93.099998,94.260002,90.773247,42529000
2018-04-27,97.599998,97.900002,93.910004,95.820000,92.275536,48272800
2018-04-30,96.330002,96.400002,93.150002,93.519997,90.060593,41523600
2018-05-01,93.209999,95.290001,92.790001,95.000000,91.485863,31408900
2018-05-02,94.989998,95.169998,93.190002,93.510002,90.050987,27471000
2018-05-03,92.959999,94.930000,92.449997,94.070000,90.590263,31142500
2018-05-04,93.320000,95.370003,92.919998,95.160004,91.639946,22531300
2018-05-07,95.169998,96.709999,95.099998,96.220001,92.660728,24242000
2018-05-08,95.849998,96.160004,95.059998,95.809998,92.265900,23484600
2018-05-09,96.010002,96.970001,95.050003,96.940002,93.354095,27327400
2018-05-10,97.459999,97.949997,97.050003,97.910004,94.288223,22388100
2018-05-11,97.800003,97.870003,97.040001,97.699997,94.085976,16778300
2018-05-14,97.919998,98.690002,97.309998,98.029999,94.403786,19454100
2018-05-15,97.239998,97.849998,96.339996,97.320000,93.720055,24594000
2018-05-16,97.360001,97.400002,96.620003,97.150002,93.961853,17384700
2018-05-17,96.760002,97.540001,95.830002,96.180000,93.023682,17246700
2018-05-18,96.010002,96.930000,96.010002,96.360001,93.197762,17865800
2018-05-21,97.000000,98.010002,96.800003,97.599998,94.397079,19422500
2018-05-22,97.680000,98.169998,97.199997,97.500000,94.300346,15441200
2018-05-23,96.709999,98.730003,96.320000,98.660004,95.422295,21251200
2018-05-24,98.730003,98.940002,96.809998,98.309998,95.083778,26649300
2018-05-25,98.300003,98.980003,97.860001,98.360001,95.132141,18363900
2018-05-29,97.839996,98.879997,97.230003,98.010002,94.793610,28671000
2018-05-30,98.309998,99.250000,97.910004,98.949997,95.702774,22158500
2018-05-31,99.290001,99.989998,98.610001,98.839996,95.596390,34140900
2018-06-01,99.279999,100.860001,99.169998,100.790001,97.482384,28655600
2018-06-04,101.260002,101.860001,100.849998,101.669998,98.333511,27281600
2018-06-05,102.000000,102.330002,101.529999,102.190002,98.836456,23514400
2018-06-06,102.480003,102.599998,101.900002,102.489998,99.126595,21122900
2018-06-07,102.650002,102.690002,100.379997,100.879997,97.569443,28232200
2018-06-08,101.089996,101.949997,100.540001,101.629997,98.294823,22165100
2018-06-11,101.010002,101.589996,100.669998,101.050003,97.733849,23490900
2018-06-12,101.099998,101.449997,100.750000,101.309998,97.985329,18325200
2018-06-13,101.720001,102.010002,100.559998,100.849998,97.540421,29492900
2018-06-14,101.650002,102.029999,101.000000,101.419998,98.091713,25691800
2018-06-15,101.510002,101.529999,100.070000,100.129997,96.844040,65738600
2018-06-18,100.010002,101.110001,99.419998,100.860001,97.550117,23586000
2018-06-19,99.650002,101.000000,99.500000,100.860001,97.550117,28653100
2018-06-20,101.370003,102.519997,101.120003,101.870003,98.526955,26180800
2018-06-21,102.080002,102.459999,100.879997,101.139999,97.820908,23198200
2018-06-22,100.410004,100.769997,99.629997,100.410004,97.114868,38923100
2018-06-25,100.000000,100.110001,97.300003,98.389999,95.161163,35433300
2018-06-26,98.820000,100.080002,98.750000,99.080002,95.828522,26897200
2018-06-27,99.580002,100.019997,97.400002,97.540001,94.339050,31298400
2018-06-28,97.379997,99.110001,97.260002,98.629997,95.393280,26650700
2018-06-29,98.930000,99.910004,98.330002,98.610001,95.373940,28053200
2018-07-02,98.099998,100.059998,98.000000,100.010002,96.728004,19564500
2018-07-03,100.480003,100.629997,98.940002,99.050003,95.799500,14670300
2018-07-05,99.500000,99.919998,99.029999,99.760002,96.486198,18977400
2018-07-06,99.889999,101.430000,99.669998,101.160004,97.840256,19234600
2018-07-09,101.650002,102.250000,101.250000,101.849998,98.507607,18212000
2018-07-10,102.000000,102.510002,101.860001,102.120003,98.768738,19293100
2018-07-11,101.150002,102.339996,101.099998,101.980003,98.633339,19644600
2018-07-12,102.769997,104.410004,102.730003,104.190002,100.770821,24335900
2018-07-13,104.370003,105.599998,104.089996,105.430000,101.970116,24635200
2018-07-16,105.400002,105.820000,104.519997,104.910004,101.467194,21786900
2018-07-17,104.610001,106.500000,104.320000,105.949997,102.473053,25901700
2018-07-18,105.940002,106.050003,104.720001,105.120003,101.670296,29493900
2018-07-19,104.930000,105.309998,103.889999,104.400002,100.973930,40171600
2018-07-20,108.080002,108.199997,106.080002,106.269997,102.782555,56004000
2018-07-23,106.300003,108.139999,106.129997,107.970001,104.426773,29707000
2018-07-24,108.570000,108.820000,107.260002,107.660004,104.126945,26316600
2018-07-25,107.959999,111.150002,107.599998,110.830002,107.192909,30702100
2018-07-26,110.739998,111.000000,109.500000,109.620003,106.022621,31372100
2018-07-27,110.180000,110.180000,106.139999,107.680000,104.146278,37005300
2018-07-30,107.190002,107.529999,104.760002,105.370003,101.912086,34668300
2018-07-31,106.489998,106.720001,105.379997,106.080002,102.598785,27655200
2018-08-01,106.029999,106.449997,105.419998,106.279999,102.792229,23628700
2018-08-02,105.400002,108.089996,104.839996,107.570000,104.039886,26104300
2018-08-03,107.800003,108.050003,106.820000,108.040001,104.494476,18659600
2018-08-06,108.120003,108.419998,107.559998,108.129997,104.581520,20265900
2018-08-07,108.559998,109.099998,108.169998,108.879997,105.306915,16080200
